,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
29732,538826,85123A,WHITE HANGING HEART T-LIGHT HOLDER,64,12/14/2010 12:58,2.55,12370.0,Cyprus
29733,538826,21031,SPACE CADET BLACK,10,12/14/2010 12:58,1.25,12370.0,Cyprus
29734,538826,21026,SPACE OWL,10,12/14/2010 12:58,1.25,12370.0,Cyprus
29735,538826,21025,SPACE FROG,10,12/14/2010 12:58,1.25,12370.0,Cyprus
29736,538826,21032,SPACE CADET WHITE,10,12/14/2010 12:58,1.25,12370.0,Cyprus
29737,538826,21030,SPACE CADET RED,10,12/14/2010 12:58,1.25,12370.0,Cyprus
29738,538826,21027,NINJA RABBIT PINK,10,12/14/2010 12:58,1.25,12370.0,Cyprus
29739,538826,22804,CANDLEHOLDER PINK HANGING HEART,9,12/14/2010 12:58,2.95,12370.0,Cyprus
29740,538826,21733,RED HANGING HEART T-LIGHT HOLDER,16,12/14/2010 12:58,2.95,12370.0,Cyprus
29741,538826,20846,ZINC HEART LATTICE T-LIGHT HOLDER,20,12/14/2010 12:58,1.25,12370.0,Cyprus
29742,538826,20972,PINK CREAM FELT CRAFT TRINKET BOX ,2,12/14/2010 12:58,1.25,12370.0,Cyprus
29743,538826,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,1,12/14/2010 12:58,3.75,12370.0,Cyprus
29744,538826,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,1,12/14/2010 12:58,3.75,12370.0,Cyprus
29745,538826,22274,FELTCRAFT DOLL EMILY,1,12/14/2010 12:58,2.95,12370.0,Cyprus
29746,538826,22272,FELTCRAFT DOLL MARIA,1,12/14/2010 12:58,2.95,12370.0,Cyprus
29747,538826,22751,FELTCRAFT PRINCESS OLIVIA DOLL,2,12/14/2010 12:58,3.75,12370.0,Cyprus
29748,538826,22569,FELTCRAFT CUSHION BUTTERFLY,2,12/14/2010 12:58,3.75,12370.0,Cyprus
29749,538826,22568,FELTCRAFT CUSHION OWL,2,12/14/2010 12:58,3.75,12370.0,Cyprus
29750,538826,20970,PINK FLORAL FELTCRAFT SHOULDER BAG,1,12/14/2010 12:58,3.75,12370.0,Cyprus
29751,538826,20969,RED FLORAL FELTCRAFT SHOULDER BAG,1,12/14/2010 12:58,3.75,12370.0,Cyprus
29752,538826,20967,GREY FLORAL FELTCRAFT SHOULDER BAG,1,12/14/2010 12:58,3.75,12370.0,Cyprus
29753,538826,22150,3 STRIPEY MICE FELTCRAFT,3,12/14/2010 12:58,1.95,12370.0,Cyprus
29754,538826,22149,FELTCRAFT 6 FLOWER FRIENDS,3,12/14/2010 12:58,2.1,12370.0,Cyprus
29755,538826,22147,FELTCRAFT BUTTERFLY HEARTS,4,12/14/2010 12:58,1.45,12370.0,Cyprus
29756,538826,22270,HAPPY EASTER HANGING DECORATION,13,12/14/2010 12:58,3.75,12370.0,Cyprus
29757,538826,72741,GRAND CHOCOLATECANDLE,18,12/14/2010 12:58,1.45,12370.0,Cyprus
29758,538826,47566,PARTY BUNTING,1,12/14/2010 12:58,4.65,12370.0,Cyprus
29759,538826,47590B,PINK HAPPY BIRTHDAY BUNTING,1,12/14/2010 12:58,5.45,12370.0,Cyprus
29760,538826,47590A,BLUE HAPPY BIRTHDAY BUNTING,2,12/14/2010 12:58,5.45,12370.0,Cyprus
29761,538826,21326,AGED GLASS SILVER T-LIGHT HOLDER,24,12/14/2010 12:58,0.65,12370.0,Cyprus
29762,538826,22214,CANDLE PLATE LACE WHITE,24,12/14/2010 12:58,2.55,12370.0,Cyprus
29763,538826,22465,HANGING METAL STAR LANTERN,12,12/14/2010 12:58,1.65,12370.0,Cyprus
29764,538826,22784,LANTERN CREAM GAZEBO ,9,12/14/2010 12:58,4.95,12370.0,Cyprus
29765,538826,22291,HANGING CHICK CREAM DECORATION,24,12/14/2010 12:58,1.45,12370.0,Cyprus
29766,538826,85195,HANGING HEART BASKET,8,12/14/2010 12:58,2.1,12370.0,Cyprus
29767,538826,21357,TOAST ITS - DINOSAUR,2,12/14/2010 12:58,1.25,12370.0,Cyprus
29768,538826,21356,TOAST ITS - FAIRY FLOWER,1,12/14/2010 12:58,1.25,12370.0,Cyprus
29769,538826,21355,TOAST ITS - I LOVE YOU ,1,12/14/2010 12:58,1.25,12370.0,Cyprus
29770,538826,21358,TOAST ITS - HAPPY BIRTHDAY,5,12/14/2010 12:58,1.25,12370.0,Cyprus
29771,538826,20974,12 PENCILS SMALL TUBE SKULL,6,12/14/2010 12:58,0.65,12370.0,Cyprus
29772,538826,22070,SMALL RED RETROSPOT MUG IN BOX ,5,12/14/2010 12:58,3.75,12370.0,Cyprus
29773,538826,22071,SMALL WHITE RETROSPOT MUG IN BOX ,5,12/14/2010 12:58,3.75,12370.0,Cyprus
29774,538826,35961,FOLKART ZINC HEART CHRISTMAS DEC,12,12/14/2010 12:58,0.85,12370.0,Cyprus
29775,538826,22294,HEART FILIGREE DOVE  SMALL,48,12/14/2010 12:58,1.25,12370.0,Cyprus
29776,538826,21683,MEDIUM MEDINA STAMPED METAL BOWL ,6,12/14/2010 12:58,2.95,12370.0,Cyprus
29777,538826,21684,SMALL MEDINA STAMPED METAL BOWL ,24,12/14/2010 12:58,0.85,12370.0,Cyprus
29778,538826,22297,HEART IVORY TRELLIS SMALL,48,12/14/2010 12:58,1.25,12370.0,Cyprus
29779,538826,22335,HEART DECORATION PAINTED ZINC ,96,12/14/2010 12:58,0.65,12370.0,Cyprus
29780,538826,22296,HEART IVORY TRELLIS LARGE,24,12/14/2010 12:58,1.65,12370.0,Cyprus
29781,538826,20961,STRAWBERRY BATH SPONGE ,10,12/14/2010 12:58,1.25,12370.0,Cyprus
29782,538826,20963,APPLE BATH SPONGE,10,12/14/2010 12:58,1.25,12370.0,Cyprus
29783,538826,20966,SANDWICH BATH SPONGE,10,12/14/2010 12:58,1.25,12370.0,Cyprus
